epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5348,0.51366,0.81219,0.13379,0.83031,0.8512,0.89428,0.63228,0.39659,0.47808,0.1219,0.000661692,0.000661692,0.000661692
2,128.07,0.34369,0.44315,0.07475,0.85693,0.92047,0.93866,0.69422,0.30208,0.44161,0.07014,0.00119685,0.00119685,0.00119685
3,190.484,0.33372,0.42864,0.06864,0.86308,0.89007,0.93333,0.69023,0.30264,0.44321,0.06809,0.00160001,0.00160001,0.00160001
4,252.194,0.31942,0.41191,0.06847,0.86763,0.91637,0.95208,0.68475,0.3262,0.4335,0.07148,0.001406,0.001406,0.001406
5,314.03,0.31542,0.40792,0.06587,0.87815,0.88453,0.93423,0.69922,0.29518,0.42897,0.06577,0.001208,0.001208,0.001208
6,376.182,0.30724,0.40204,0.06424,0.86874,0.91782,0.947,0.70445,0.30214,0.42775,0.06612,0.00101,0.00101,0.00101
7,438.281,0.29432,0.39677,0.05961,0.84406,0.9445,0.93848,0.69756,0.30323,0.48243,0.06523,0.000812,0.000812,0.000812
8,500.01,0.29219,0.39305,0.05924,0.86755,0.90288,0.93621,0.70437,0.28977,0.42043,0.06434,0.000614,0.000614,0.000614
9,561.849,0.28333,0.38219,0.05624,0.8776,0.92636,0.94811,0.71786,0.28437,0.41078,0.06353,0.000416,0.000416,0.000416
10,624.209,0.2833,0.37857,0.05978,0.88057,0.91996,0.93891,0.71426,0.28073,0.41778,0.06173,0.000218,0.000218,0.000218
