epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6367,1.25271,1.22449,1.15511,0.82476,0.82818,0.88707,0.57378,1.28733,1.13619,1.20158,0.000661692,0.000661692,0.000661692
2,53.4707,1.2618,0.8955,1.16252,0.8369,0.81323,0.87175,0.57966,1.23418,0.89449,1.16918,0.00119685,0.00119685,0.00119685
3,79.1144,1.29403,0.96613,1.19091,0.83583,0.86393,0.92407,0.61068,1.22025,1.1155,1.17401,0.00160001,0.00160001,0.00160001
4,104.526,1.21456,0.83138,1.1587,0.85981,0.86766,0.93853,0.63871,1.18101,0.80588,1.1466,0.001406,0.001406,0.001406
5,129.97,1.18082,0.75427,1.12589,0.8712,0.89512,0.9437,0.65323,1.1598,0.72286,1.12367,0.001208,0.001208,0.001208
6,155.538,1.15893,0.73585,1.11343,0.87771,0.85806,0.93137,0.64213,1.21408,0.72381,1.13876,0.00101,0.00101,0.00101
7,181.007,1.11073,0.65433,1.08833,0.85024,0.91889,0.95746,0.68143,1.11688,0.63654,1.11004,0.000812,0.000812,0.000812
8,206.406,1.09534,0.63036,1.08875,0.87717,0.92224,0.95154,0.68229,1.11503,0.63164,1.09651,0.000614,0.000614,0.000614
9,231.911,1.05763,0.59102,1.05864,0.87271,0.93383,0.96385,0.70203,1.07984,0.6007,1.07599,0.000416,0.000416,0.000416
10,257.518,1.04161,0.56509,1.06205,0.88993,0.93188,0.96715,0.70648,1.07344,0.56951,1.07325,0.000218,0.000218,0.000218
